epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82937,2.22562,4.22,2.09681,0.04807,0.0874,0.03374,0.01499,1.29002,2.58184,1.40648,6.152e-05,6.152e-05,6.152e-05
2,6.87132,1.58862,3.09389,1.60604,0.25456,0.31529,0.16202,0.08718,1.17752,5.66693,1.24461,0.000129436,0.000129436,0.000129436
3,10.7758,1.3286,2.397,1.46589,0.18743,0.49055,0.22459,0.13664,1.07419,7.25897,1.2204,0.000195981,0.000195981,0.000195981
4,14.7378,1.34254,2.27957,1.49418,0.16734,0.47192,0.17483,0.0929,1.11964,inf,1.30734,0.000261156,0.000261156,0.000261156
5,18.0219,1.3387,2.12597,1.46885,0.0482,0.51548,0.08414,0.04611,1.22779,24.3214,1.46327,0.000324961,0.000324961,0.000324961
6,21.7916,1.28495,1.91791,1.42642,0,0,0,0,1.65076,inf,2.56993,0.000387395,0.000387395,0.000387395
7,25.3834,1.38769,2.01723,1.54977,0.11124,0.045,0.05891,0.02061,1.58997,inf,1.81693,0.000448459,0.000448459,0.000448459
8,28.7375,1.34865,1.78895,1.47387,0.21153,0.37615,0.21488,0.12272,1.14531,10.5209,1.35009,0.000508153,0.000508153,0.000508153
9,31.8372,1.36576,1.944,1.51158,0.36157,0.28409,0.19083,0.10112,1.23195,6.02472,1.62092,0.000566476,0.000566476,0.000566476
10,35.1389,1.39128,1.87933,1.55834,0.28437,0.23414,0.14883,0.09239,1.41343,3.24814,1.63997,0.000623429,0.000623429,0.000623429
11,38.1203,1.3073,1.77595,1.4595,0.19086,0.35111,0.18148,0.09685,1.34473,4.80068,1.63338,0.000679012,0.000679012,0.000679012
12,41.4117,1.37333,1.76337,1.50982,0.1461,0.4243,0.24003,0.13981,1.25413,7.02657,1.59428,0.000685256,0.000685256,0.000685256
13,45.1137,1.37857,1.81369,1.53383,0.13311,0.44107,0.19832,0.10348,1.27333,6.66165,1.58371,0.000677643,0.000677643,0.000677643
14,48.3532,1.31307,1.73222,1.46529,0.26255,0.36646,0.28442,0.16061,1.1763,4.27437,1.5288,0.00067003,0.00067003,0.00067003
15,52.4185,1.3966,1.75555,1.5348,0.2814,0.44612,0.38009,0.21283,1.1727,2.17539,1.51948,0.000662417,0.000662417,0.000662417
16,56.6871,1.33839,1.68073,1.51141,0.34371,0.47929,0.41339,0.24237,1.11787,1.58852,1.36388,0.000654804,0.000654804,0.000654804
17,60.8786,1.29392,1.55383,1.43369,0.32083,0.46978,0.37209,0.21424,1.12692,1.6918,1.36986,0.00064719,0.00064719,0.00064719
18,64.257,1.33643,1.63939,1.48341,0.34006,0.52455,0.43287,0.24779,1.13538,1.42548,1.31803,0.000639577,0.000639577,0.000639577
19,68.1817,1.31544,1.48913,1.41692,0.41622,0.37397,0.31562,0.18958,1.13331,2.30394,1.35126,0.000631964,0.000631964,0.000631964
20,71.5618,1.32036,1.52291,1.45571,0.1892,0.44592,0.24579,0.13971,1.13514,1.90552,1.32008,0.000624351,0.000624351,0.000624351
21,74.8072,1.26289,1.40685,1.42753,0.26046,0.29099,0.27276,0.15784,1.13267,1.94956,1.30184,0.000616738,0.000616738,0.000616738
22,77.7926,1.25927,1.36527,1.43245,0.38979,0.51904,0.41708,0.2366,1.05658,1.44913,1.27516,0.000609125,0.000609125,0.000609125
23,81.2021,1.24697,1.38364,1.42392,0.48868,0.6443,0.57468,0.31923,1.07926,1.22377,1.28015,0.000601512,0.000601512,0.000601512
24,85.5822,1.28545,1.37905,1.44856,0.43032,0.58162,0.51728,0.30061,1.06419,1.32851,1.246,0.000593899,0.000593899,0.000593899
25,88.7151,1.21044,1.27121,1.39044,0.54973,0.51103,0.56164,0.32092,1.10889,1.13044,1.27283,0.000586286,0.000586286,0.000586286
26,92.8547,1.29434,1.39474,1.45113,0.52769,0.50661,0.52445,0.30074,1.08409,1.17584,1.24888,0.000578672,0.000578672,0.000578672
27,96.1559,1.25933,1.37199,1.44721,0.67004,0.55484,0.61842,0.35793,1.10202,1.09512,1.27763,0.000571059,0.000571059,0.000571059
28,100.219,1.22466,1.29542,1.38963,0.511,0.61762,0.56,0.33083,1.09219,1.14875,1.2555,0.000563446,0.000563446,0.000563446
29,103.52,1.20277,1.25025,1.37578,0.51466,0.43817,0.47278,0.27627,1.09158,1.56459,1.25938,0.000555833,0.000555833,0.000555833
